outbreakId,reportId,diseaseName,diseaseType,startDate,endDate,status,totalOutbreaks,totalCases,locationName,species,animalCategoryLabel,isClusterLabel,latitude,longitude,animalCategory,isCluster,geometry,date
104356,4247,H5N1 (HPAI non. Plt),,7/06/2022,30/06/2022,Resolved,1,,Maricopa County,Nannopterum brasilianum,Wild,No,33.465,-112.11,wild,FALSE,POINT (-112.115478515625 33.46810795527897),2022-06-07
108250,4247,H5N1 (HPAI non. Plt),,3/10/2022,31/12/2022,Resolved,1,,Orange County,Nycticorax nycticorax,Wild,No,33.593,-117.76,wild,FALSE,POINT (-117.762451171875 33.596318961132695),2022-10-03
145903,4247,H5N1 (HPAI non. Plt),,20/11/2024,,Continuing,1,,Riverside County,Birds,Domestic,No,33.714,-116.22,domestic,FALSE,POINT (-116.224365234375 33.715201644740844),2024-11-20
126592,4247,H5N1 (HPAI non. Plt),,11/10/2023,19/02/2024,Resolved,1,,Carter County,Birds,Domestic,No,34.172,-97.13,domestic,FALSE,POINT (-97.130126953125 34.17090836352574),2023-10-11
116479,4247,H5N1 (HPAI non. Plt),,12/03/2023,24/07/2023,Resolved,1,,Hale County,Birds,Domestic,No,34.181,-101.703,domestic,FALSE,POINT (-101.700439453125 34.17999758688083),2023-03-12
135061,4247,H5N1 (HPAI non. Plt),,9/05/2024,30/06/2024,Resolved,1,,Roosevelt County,"Piranga rubra, Streptopelia decaocto, Zenaida macroura",Wild,No,34.191,-103.337,wild,FALSE,POINT (-103.33740234375 34.189085831172406),2024-05-09
109923,4247,H5N1 (HPAI non. Plt),,26/11/2022,4/04/2023,Resolved,1,,Arkansas County,Birds,Domestic,No,34.279,-91.339,domestic,FALSE,POINT (-91.34033203125 34.279914398549934),2022-11-26
108589,4247,H5N1 (HPAI non. Plt),,29/10/2022,17/03/2023,Resolved,1,,Yavapai County,Birds,Domestic,No,34.541,-112.47,domestic,FALSE,POINT (-112.467041015625 34.542762387234845),2022-10-29
108588,4247,H5N1 (HPAI non. Plt),,25/10/2022,17/03/2023,Resolved,1,,Yavapai County,Birds,Domestic,No,34.548,-112.45,domestic,FALSE,POINT (-112.445068359375 34.551811369170494),2022-10-25
108962,4247,H5N1 (HPAI non. Plt),,24/10/2022,31/12/2022,Resolved,1,,Pulaski County,Branta canadensis,Wild,No,34.748,-92.276,wild,FALSE,POINT (-92.274169921875 34.7506398050501),2022-10-24
133451,4247,empty strain - H5N1 (HPAI non. Plt),,13/03/2024,25/07/2024,Resolved,1,,Deaf Smith County,Birds,Domestic,No,34.812,-102.398,domestic,FALSE,POINT (-102.392578125 34.813803317113155),2024-03-13
129066,4247,H5N1 (HPAI non. Plt),,10/12/2023,14/04/2024,Resolved,1,,Scott County,Birds,Domestic,No,34.901,-94.093,domestic,FALSE,POINT (-94.097900390625 34.903952965590065),2023-12-10
127151,4247,H5N1 (HPAI non. Plt),,28/10/2023,29/02/2024,Resolved,1,,Grady County,Birds,Domestic,No,35.053,-97.937,domestic,FALSE,POINT (-97.93212890625 35.05698043137265),2023-10-28
110399,4247,H5N1 (HPAI non. Plt),,22/10/2022,31/12/2022,Resolved,1,,Bernalillo County,Branta canadensis,Wild,No,35.083,-106.653,wild,FALSE,POINT (-106.6552734375 35.083955579276434),2022-10-22
117755,4247,H5N1 (HPAI non. Plt),,7/04/2023,30/06/2023,Resolved,1,,San Luis Obispo County,Urile penicillatus,Wild,No,35.12,-120.612,wild,FALSE,POINT (-120.60791015625 35.11990857099681),2023-04-07
107411,4247,H5N1 (HPAI non. Plt),,1/10/2022,3/02/2023,Resolved,1,,Bernalillo County,Birds,Domestic,No,35.145,-106.677,domestic,FALSE,POINT (-106.67724609375 35.1468629067563),2022-10-01
117276,4247,H5N1 (HPAI non. Plt),,20/03/2023,30/06/2023,Resolved,1,,Coconino County,Gymnogyps californianus,Wild,No,35.199,-111.646,wild,FALSE,POINT (-111.64306640625 35.200744801724014),2023-03-20
108166,4247,empty strain - H5N1 (HPAI non. Plt),,15/10/2022,20/02/2023,Resolved,1,,Cleveland County,Birds,Domestic,No,35.233,-97.424,domestic,FALSE,POINT (-97.4267578125 35.23664622093196),2022-10-15
147232,4247,H5N1 (HPAI non. Plt),,5/12/2024,,Continuing,1,,Pope County,Birds,Domestic,No,35.278,-93.134,domestic,FALSE,POINT (-93.131103515625 35.281500657891186),2024-12-05
111062,4247,H5N1 (HPAI non. Plt),,16/11/2022,31/12/2022,Resolved,1,,San Luis Obispo County,"Fulmarus glacialis, Larus philadelphia",Wild,No,35.29,-120.659,wild,FALSE,POINT (-120.662841796875 35.29046856590878),2022-11-16
108636,4247,H5N1 (HPAI non. Plt),,13/10/2022,3/03/2023,Resolved,1,,Pope County,Birds,Domestic,No,35.306,-93.139,domestic,FALSE,POINT (-93.14208984375 35.308401401691626),2022-10-13
129606,4247,H5N1 (HPAI non. Plt),,8/12/2023,17/05/2024,Resolved,1,,Carson County,Birds,Domestic,No,35.346,-101.382,domestic,FALSE,POINT (-101.3818359375 35.34425514918409),2023-12-08
145324,4247,H5N1 (HPAI non. Plt),,17/11/2024,,Continuing,1,,Roger Mills County,Birds,Domestic,No,35.613,-99.671,domestic,FALSE,POINT (-99.66796875 35.612650818756705),2024-11-17
146551,4247,H5N1 (HPAI non. Plt),,13/12/2024,,Continuing,1,,Jackson County,Birds,Domestic,No,35.616,-91.286,domestic,FALSE,POINT (-91.285400390625 35.612650818756705),2024-12-13
146552,4247,H5N1 (HPAI non. Plt),,15/12/2024,,Continuing,1,,Craighead County,Birds,Domestic,No,35.817,-90.757,domestic,FALSE,POINT (-90.758056640625 35.81781315869661),2024-12-15
147231,4247,H5N1 (HPAI non. Plt),,5/12/2024,,Continuing,1,,Craighead County,Birds,Domestic,No,35.838,-90.71,domestic,FALSE,POINT (-90.714111328125 35.8356283888737),2024-12-05
133088,4247,H5N1 (HPAI non. Plt),,6/03/2024,25/07/2024,Resolved,1,,Moore County,Birds,Domestic,No,35.858,-101.973,domestic,FALSE,POINT (-101.97509765625 35.862343734896484),2024-03-06
127023,4247,H5N1 (HPAI non. Plt),,26/10/2023,28/02/2024,Resolved,1,,Wagoner County,Birds,Domestic,No,35.96,-95.374,domestic,FALSE,POINT (-95.372314453125 35.96022296929668),2023-10-26
108203,4247,H5N1 (HPAI non. Plt),,12/10/2022,16/02/2023,Resolved,1,,Creek County,Birds,Domestic,No,36.029,-96.092,domestic,FALSE,POINT (-96.097412109375 36.03133177633187),2022-10-12
108638,4247,H5N1 (HPAI non. Plt),,10/10/2022,16/02/2023,Resolved,1,,Tulsa County,Birds,Domestic,No,36.143,-95.979,domestic,FALSE,POINT (-95.9765625 36.14674677781437),2022-10-10
147233,4247,H5N1 (HPAI non. Plt),,29/12/2024,,Continuing,1,,Sharp County,Birds,Domestic,No,36.228,-91.606,domestic,FALSE,POINT (-91.60400390625 36.2265501474709),2024-12-29
127746,4247,H5N1 (HPAI non. Plt),,9/11/2023,19/03/2024,Resolved,1,,San Juan County,Birds,Domestic,No,36.276,-108.203,domestic,FALSE,POINT (-108.204345703125 36.27970720524017),2023-11-09
143060,4247,H5N1 (HPAI non. Plt),,29/10/2024,,Continuing,1,,Tulare County,Birds,Domestic,No,36.328,-119.314,domestic,FALSE,POINT (-119.3115234375 36.32397712011263),2024-10-29
142045,4247,H5N1 (HPAI non. Plt),,23/10/2024,28/02/2025,Resolved,1,,Tulare County,Birds,Domestic,No,36.329,-119.315,domestic,FALSE,POINT (-119.3115234375 36.3328280873792),2024-10-23
110047,4247,H5N1 (HPAI non. Plt),,1/12/2022,5/04/2023,Resolved,1,,Pawnee County,Birds,Domestic,No,36.339,-96.802,domestic,FALSE,POINT (-96.800537109375 36.34167804918316),2022-12-01
143544,4247,H5N1 (HPAI non. Plt),,30/10/2024,,Continuing,1,,Kings County,Birds,Domestic,No,36.374,-119.669,domestic,FALSE,POINT (-119.674072265625 36.37706783983681),2024-10-30
129604,4247,H5N1 (HPAI non. Plt),,15/12/2023,24/04/2024,Resolved,1,,Garfield County,Birds,Domestic,No,36.397,-97.88,domestic,FALSE,POINT (-97.877197265625 36.39475669987385),2023-12-15
108427,4247,H5N1 (HPAI non. Plt),,28/09/2022,31/12/2022,Resolved,1,,Monterey County,Larus occidentalis,Wild,No,36.678,-121.655,wild,FALSE,POINT (-121.651611328125 36.677230602346214),2022-09-28
114320,4247,H5N1 (HPAI non. Plt),,25/01/2023,30/06/2023,Resolved,1,,Monterey County,Arenaria melanocephala,Wild,No,36.678,-121.655,wild,FALSE,POINT (-121.651611328125 36.677230602346214),2023-01-25
106909,4247,H5N1 (HPAI non. Plt),,11/09/2022,22/02/2023,Resolved,1,,Fresno County,Birds,Domestic,No,36.717,-119.785,domestic,FALSE,POINT (-119.783935546875 36.721273880045004),2022-09-11
151583,4247,H5N1 (HPAI non. Plt),,16/11/2024,,Continuing,1,,Madera County,Birds,Domestic,No,36.958,-120.061,domestic,FALSE,POINT (-120.05859375 36.95867113153031),2024-11-16
108363,4247,H5N1 (HPAI non. Plt),,18/10/2022,21/02/2023,Resolved,1,,La Plata County,Birds,Domestic,No,37.278,-107.869,domestic,FALSE,POINT (-107.86376953125 37.274052809979054),2022-10-18
145480,4247,H5N1 (HPAI non. Plt),,1/12/2024,,Continuing,1,,La Plata County,Birds,Domestic,No,37.274,-107.879,domestic,FALSE,POINT (-107.874755859375 37.274052809979054),2024-12-01
108208,4247,H5N1 (HPAI non. Plt),,9/10/2022,10/02/2023,Resolved,1,,La Plata County,Birds,Domestic,No,37.283,-107.869,domestic,FALSE,POINT (-107.86376953125 37.28279464911044),2022-10-09
130095,4247,H5N1 (HPAI non. Plt),,1/01/2024,8/05/2024,Resolved,1,,Merced County,Birds,Domestic,No,37.307,-120.433,domestic,FALSE,POINT (-120.43212890625 37.30901407427592),2024-01-01
132627,4247,H5N1 (HPAI non. Plt),,8/01/2024,30/06/2024,Resolved,1,,Merced County,Bubulcus ibis,Wild,No,37.313,-120.484,wild,FALSE,POINT (-120.487060546875 37.30901407427592),2024-01-08
110191,4247,H5N1 (HPAI non. Plt),,2/12/2022,8/04/2023,Resolved,1,,Dade County,Birds,Domestic,No,37.415,-93.841,domestic,FALSE,POINT (-93.84521484375 37.413800350662896),2022-12-02
146218,4247,H5N1 (HPAI non. Plt),,16/12/2024,,Continuing,1,,Dade County ,Birds,Domestic,No,37.415,-93.841,domestic,FALSE,POINT (-93.84521484375 37.413800350662896),2024-12-16
111443,4247,H5N1 (HPAI non. Plt),,20/12/2022,5/05/2023,Resolved,1,,Elk County,Birds,Domestic,No,37.469,-96.262,domestic,FALSE,POINT (-96.26220703125 37.46613860234406),2022-12-20
151588,4247,H5N1 (HPAI non. Plt),,21/01/2025,,Continuing,1,,San Mateo County,Birds,Domestic,No,37.581,-122.329,domestic,FALSE,POINT (-122.332763671875 37.579412513438385),2025-01-21
146550,4247,H5N1 (HPAI non. Plt),,17/12/2024,,Continuing,1,,Sedgwick County,Birds,Domestic,No,37.629,-97.286,domestic,FALSE,POINT (-97.283935546875 37.63163475580643),2024-12-17
99307,4247,empty strain - H5N1 (HPAI non. Plt),,12/03/2022,22/08/2022,Resolved,1,,Sedgwick County,Birds,Domestic,No,37.674,-97.403,domestic,FALSE,POINT (-97.40478515625 37.67512527892127),2022-03-12
146545,4247,H5N1 (HPAI non. Plt),,4/12/2024,,Continuing,1,,Cedar County,Birds,Domestic,No,37.705,-93.789,domestic,FALSE,POINT (-93.790283203125 37.70120736474139),2024-12-04
107149,4247,H5N1 (HPAI non. Plt),,23/09/2022,31/12/2022,Resolved,1,,Alameda County,Larus californicus,Wild,No,37.743,-122.213,wild,FALSE,POINT (-122.2119140625 37.74465712069939),2022-09-23
132139,4247,H5N1 (HPAI non. Plt),,17/01/2024,30/06/2024,Resolved,1,,Alameda County,Calidris mauri,Wild,No,37.78,-122.264,wild,FALSE,POINT (-122.266845703125 37.779398571318765),2024-01-17
112069,4247,H5N1 (HPAI non. Plt),,24/12/2022,5/05/2023,Resolved,1,,San Joaquin County,Birds,Domestic,No,37.886,-121.282,domestic,FALSE,POINT (-121.278076171875 37.88352498087133),2022-12-24
113588,4247,H5N1 (HPAI non. Plt),,22/01/2023,2/06/2023,Resolved,1,,San Joaquin County,Birds,Domestic,No,37.954,-121.287,domestic,FALSE,POINT (-121.2890625 37.95286091815649),2023-01-22
114368,4247,H5N1 (HPAI non. Plt),,14/02/2023,16/06/2023,Resolved,1,,San Joaquin County,Birds,Domestic,No,37.95,-121.264,domestic,FALSE,POINT (-121.26708984375 37.95286091815649),2023-02-14
118931,4247,H5N1 (HPAI non. Plt),,13/05/2023,14/09/2023,Resolved,1,,Phelps County,Birds,Domestic,No,37.956,-91.774,domestic,FALSE,POINT (-91.768798828125 37.95286091815649),2023-05-13
111070,4247,H5N1 (HPAI non. Plt),,13/12/2022,31/12/2022,Resolved,1,,Finney County,Quiscalus mexicanus,Wild,No,37.969,-100.876,wild,FALSE,POINT (-100.87646484375 37.97018468810549),2022-12-13
106135,4247,H5N1 (HPAI non. Plt),,16/08/2022,24/01/2023,Resolved,1,,Contra Costa County,Birds,Domestic,No,38.01,-122.107,domestic,FALSE,POINT (-122.10205078125 38.01347623104195),2022-08-16
131881,4247,H5N1 (HPAI non. Plt),,17/01/2024,30/06/2024,Resolved,1,,Contra Costa County,Pluvialis squatarola,Wild,No,38.018,-122.134,wild,FALSE,POINT (-122.135009765625 38.022131473537456),2024-01-17
151595,4247,H5N1 (HPAI non. Plt),,30/01/2025,,Continuing,1,,Harvey County,Birds,Domestic,No,38.052,-97.344,domestic,FALSE,POINT (-97.3388671875 38.04809106745722),2025-01-30
107323,4247,H5N1 (HPAI non. Plt),,9/09/2022,28/02/2023,Resolved,1,,Calaveras County,Birds,Domestic,No,38.189,-120.674,domestic,FALSE,POINT (-120.673828125 38.186386774115505),2022-09-09
116009,4247,H5N1 (HPAI non. Plt),,10/03/2023,14/07/2023,Resolved,1,,Maries County,Birds,Domestic,No,38.185,-91.947,domestic,FALSE,POINT (-91.944580078125 38.186386774115505),2023-03-10
147247,4247,H5N1 (HPAI non. Plt),,26/12/2024,,Continuing,1,,Coffey County,Birds,Domestic,No,38.194,-95.742,domestic,FALSE,POINT (-95.745849609375 38.195021557955755),2024-12-26
98480,4247,empty strain - H5N1 (HPAI non. Plt),,27/02/2022,9/08/2022,Resolved,1,,Bates County,Birds,Domestic,No,38.256,-94.31,domestic,FALSE,POINT (-94.306640625 38.255436376379464),2022-02-27
110908,4247,H5N1 (HPAI non. Plt),,19/12/2022,21/04/2023,Resolved,1,,Bates County,Birds,Domestic,No,38.257,-94.33,domestic,FALSE,POINT (-94.32861328125 38.255436376379464),2022-12-19
117458,4247,H5N1 (HPAI non. Plt),,6/04/2023,9/08/2023,Resolved,1,,Pueblo County,Birds,Domestic,No,38.271,-104.615,domestic,FALSE,POINT (-104.61181640625 38.27268853598096),2023-04-06
147245,4247,H5N1 (HPAI non. Plt),,25/12/2024,,Continuing,1,,Anderson County,Birds,Domestic,No,38.28,-95.242,domestic,FALSE,POINT (-95.240478515625 38.281313079229676),2024-12-25
114321,4247,H5N1 (HPAI non. Plt),,25/01/2023,30/06/2023,Resolved,1,,Napa County,Tringa semipalmata,Wild,No,38.3,-122.284,wild,FALSE,POINT (-122.288818359375 38.29855909225435),2023-01-25
112353,4247,H5N1 (HPAI non. Plt),,21/12/2022,31/12/2022,Resolved,1,,Marion ,Anser erythropus,Wild,No,38.347,-97.019,wild,FALSE,POINT (-97.020263671875 38.350272538257656),2022-12-21
129193,4247,H5N1 (HPAI non. Plt),,2/12/2023,2/05/2024,Resolved,1,,Rice County,Birds,Domestic,No,38.347,-98.204,domestic,FALSE,POINT (-98.206787109375 38.350272538257656),2023-12-02
128816,4247,H5N1 (HPAI non. Plt),,1/12/2023,8/04/2024,Resolved,1,,Barton County,Birds,Domestic,No,38.366,-98.764,domestic,FALSE,POINT (-98.76708984375 38.36750215395048),2023-12-01
129250,4247,H5N1 (HPAI non. Plt),,16/12/2023,26/04/2024,Resolved,1,,Barton County ,Birds,Domestic,No,38.366,-98.765,domestic,FALSE,POINT (-98.76708984375 38.36750215395048),2023-12-16
112044,4247,H5N1 (HPAI non. Plt),,22/12/2022,10/05/2023,Resolved,1,,Sonoma County,Birds,Domestic,No,38.436,-122.714,domestic,FALSE,POINT (-122.71728515625 38.436379603000006),2022-12-22
112046,4247,H5N1 (HPAI non. Plt),,22/12/2022,10/05/2023,Resolved,1,,Sonoma County,Birds,Domestic,No,38.438,-122.715,domestic,FALSE,POINT (-122.71728515625 38.436379603000006),2022-12-22
144034,4247,H5N1 (HPAI non. Plt),,15/10/2024,,Continuing,1,,Sonoma County,Birds,Domestic,No,38.467,-122.727,domestic,FALSE,POINT (-122.728271484375 38.47079371120378),2024-10-15
127488,4247,H5N1 (HPAI non. Plt),,7/11/2023,9/03/2024,Resolved,1,,Montrose County,Birds,Domestic,No,38.487,-107.89,domestic,FALSE,POINT (-107.8857421875 38.48799460921481),2023-11-07
130020,4247,H5N1 (HPAI non. Plt),,24/12/2023,8/05/2024,Resolved,1,,Sacramento County,Birds,Domestic,No,38.542,-121.407,domestic,FALSE,POINT (-121.409912109375 38.53957267203904),2023-12-24
105964,4247,H5N1 (HPAI non. Plt),,5/08/2022,8/01/2023,Resolved,1,,Sacramento County,Birds,Domestic,No,38.606,-121.484,domestic,FALSE,POINT (-121.48681640625 38.60828592850558),2022-08-05
106513,4247,H5N1 (HPAI non. Plt),,29/08/2022,7/02/2023,Resolved,1,,Sacramento County,Birds,Domestic,No,38.607,-121.486,domestic,FALSE,POINT (-121.48681640625 38.60828592850558),2022-08-29
99299,4247,empty strain - H5N1 (HPAI non. Plt),,10/03/2022,30/06/2022,Resolved,1,,Saint Louis County,Lophodytes cucullatus,Wild,No,38.646,-90.348,wild,FALSE,POINT (-90.3515625 38.642617906345265),2022-03-10
128896,4247,H5N1 (HPAI non. Plt),,30/11/2023,11/04/2024,Resolved,1,,Saint Louis County,Birds,Domestic,No,38.649,-90.339,domestic,FALSE,POINT (-90.340576171875 38.651198332299515),2023-11-30
147236,4247,H5N1 (HPAI non. Plt),,21/12/2024,,Continuing,1,,Cass County,Birds,Domestic,No,38.659,-94.373,domestic,FALSE,POINT (-94.37255859375 38.659777730712534),2024-12-21
148266,4247,H5N1 (HPAI non. Plt),,11/01/2025,,Continuing,1,,Yolo County,Birds,Domestic,No,38.679,-121.772,domestic,FALSE,POINT (-121.7724609375 38.67693344463794),2025-01-11
112756,4247,H5N1 (HPAI non. Plt),,10/01/2023,6/06/2023,Resolved,1,,El Dorado County,Birds,Domestic,No,38.723,-120.828,domestic,FALSE,POINT (-120.82763671875 38.71980474264237),2023-01-10
106716,4247,H5N1 (HPAI non. Plt),,4/09/2022,15/02/2023,Resolved,1,,El Dorado County,Birds,Domestic,No,38.728,-120.805,domestic,FALSE,POINT (-120.8056640625 38.728375918239806),2022-09-04
116477,4247,H5N1 (HPAI non. Plt),,16/03/2023,27/07/2023,Resolved,1,,Ellsworth County,Birds,Domestic,No,38.731,-98.232,domestic,FALSE,POINT (-98.228759765625 38.728375918239806),2023-03-16
146217,4247,H5N1 (HPAI non. Plt),,10/12/2024,,Continuing,1,,El Dorado County,Birds,Domestic,No,38.728,-120.83,domestic,FALSE,POINT (-120.82763671875 38.728375918239806),2024-12-10
111941,4247,H5N1 (HPAI non. Plt),,2/01/2023,9/05/2023,Resolved,1,,Johnson County,Birds,Domestic,No,38.766,-93.741,domestic,FALSE,POINT (-93.746337890625 38.76265033833414),2023-01-02
131358,4247,H5N1 (HPAI non. Plt),,19/01/2024,23/05/2024,Resolved,1,,Placer County,Birds,Domestic,No,38.897,-121.076,domestic,FALSE,POINT (-121.080322265625 38.89958342598271),2024-01-19
113584,4247,H5N1 (HPAI non. Plt),,21/01/2023,26/06/2023,Resolved,1,,Placer County,Birds,Domestic,No,38.904,-121.081,domestic,FALSE,POINT (-121.080322265625 38.90813299596704),2023-01-21
105968,4247,H5N1 (HPAI non. Plt),,3/08/2022,31/12/2022,Resolved,1,,Douglas County,Bubo virginianus,Wild,No,38.963,-119.779,wild,FALSE,POINT (-119.783935546875 38.95940879245421),2022-08-03
115411,4247,H5N1 (HPAI non. Plt),,28/02/2023,6/07/2023,Resolved,1,,Douglas County,Birds,Domestic,No,38.956,-119.765,domestic,FALSE,POINT (-119.761962890625 38.95940879245421),2023-02-28
